id,title,link,description,image,genre,entry-page,data,entry page,content page,atlas structure,vis interaction,atlas navigation,onboarding,transparency,vis type
1,Healthy Communities NC,https://healthycommunitiesnc.org/,xx,1.png,storybank,,"Updatable, Multiple sources, External dataset","Personalisation, Cover vis/teaser",Report,Parallel,"Create focus, Customize data","Search, Structural overview",,"Data sourced, Export data/vis","Basic charts, Maps, Others"
2,State of the Union in Numbers,https://usafacts.org/state-of-the-union/,xx,2.png,storybank,,"Updatable, Multiple sources, External dataset",Table of content,Report,Parallel,Create focus,"Structural overview, Page links",,"Data sourced, Export data/vis",Basic charts
3,Our World in Data,https://ourworldindata.org/,xx,3.png,storybank,,"Updatable, Multiple sources, External dataset","Featured, Personalisation, Table of content, Lenses","Report, Article, Exploratory vis, Chart collection, Combination",Hierarchical,"Create focus, Customize data, Switch views","Search, Structural overview, Page links",,"Data sourced, Export data/vis, Methodology","Basic charts, Maps"
4,Data USA,https://datausa.io/,xx,4.png,storybank,,"Updatable, Multiple sources, External dataset","Featured, Random data, Metadata, Table of content, Cover vis/teaser","Report, Dashboard, Exploratory vis","Parallel, Hierarchical","Create focus, Customize data, Switch views, Coordinated views, Configure Layout","Search, Visual identity, Structural overview, Page links","Glossary, Video","Data sourced, Export data/vis, Methodology","Basic charts, Maps, Trees, Others"
5,World Water Atlas,https://www.worldwateratlas.org/,xx,5.png,storybank,,"Updatable, Multiple sources, External dataset","Featured, Lenses, Interactive vis","Article, Combination","Parallel, Hierarchical",Create focus,"Visual identity, Page links",Video,,"Basic charts, Maps"
6,Metroverse: Urban economy navigator,https://metroverse.cid.harvard.edu/,xx,6.png,observatory,,"Updatable, External dataset","Personalisation, Interactive vis","Dashboard, Exploratory vis, Table",Parallel,"Create focus, Customize data, Switch views","Search, Structural overview","Walkthrough, Glossary","Data sourced, Export data/vis, Quality Evaluation, Methodology","Basic charts, Maps, Trees, Projection"
7,SDG tracker,https://ourworldindata.org/sdgs,xx,7.png,observatory,,"Updatable, Multiple sources, External dataset",Table of content,Report,Parallel,"Create focus, Customize data, Switch views, Coordinated views",Structural overview,,"Data sourced, Export data/vis","Basic charts, Maps"
8,AI Policy Observatory,https://oecd.ai/,xx,8.png,observatory,,"Updatable, Multiple sources, External dataset","Table of content, Lenses","Report, Exploratory vis","Parallel, Multifacets","Create focus, Customize data",Structural overview,,"Data sourced, Export data/vis","Basic charts, Maps"
9,The Observatory of Economic Complexity,https://games.oec.world/en,xx,9.png,observatory,,"Updatable, Multiple sources, External dataset","Featured, Random data, Metadata, Personalisation, Lenses, Vis screenshot","Report, Exploratory vis","Parallel, Multifacets","Create focus, Customize data, Switch views, Coordinated views","Search, Structural overview, Page links",Glossary,"Data sourced, Export data/vis","Basic charts, Maps, Networks, Others"
10,PAX database,https://www.peaceagreements.org/,xx,10.png,observatory,,"Updatable, Multiple sources, External dataset, Internal dataset","Featured, Lenses, Vis screenshot","Dashboard, Exploratory vis, Table","Parallel, Multifacets","Create focus, Customize data","Search, Structural overview",,"Data sourced, Export data/vis, Open source","Basic charts, Maps, Networks, Trees"
11,Rare Diseases Observatory,https://rarediseases.ijs.si/,xx,11.png,observatory,,"Updatable, Multiple sources, External dataset","Table of content, Cover vis/teaser",Dashboard,Multifacets,"Create focus, Customize data","Search, Structural overview",,"Data sourced, Export data/vis, Methodology",
12,Atlas of Sustainable Development Goals 2017,https://datatopics.worldbank.org/sdgatlas/archive/2017/index.html,xx,12.png,series,,Internal dataset,Table of content,Report,Parallel,,Structural overview,,Data sourced,"Basic charts, Maps, Others"
13,Atlas of Sustainable Development Goals 2018,https://datatopics.worldbank.org/sdgatlas/archive/2018/,xx,13.png,series,,Internal dataset,Table of content,Chart collection,Parallel,,Structural overview,,"Data sourced, Export data/vis, Open source","Basic charts, Maps, Networks, Others"
14,Atlas of Sustainable Development Goals 2020,https://datatopics.worldbank.org/sdgatlas/archive/2020/,xx,14.png,series,,Internal dataset,Table of content,Article,Parallel,,,,Data sourced,"Basic charts, Maps, Networks, Others"
15,Atlas of Sustainable Development Goals 2023,https://datatopics.worldbank.org/sdgatlas?lang=en,xx,15.png,series,,"Multiple sources, External dataset, Internal dataset","Personalisation, Table of content, Cover vis/teaser",Article,Parallel,Create focus,"Search, Visual identity, Structural overview, Page links",Video,"Data sourced, Export data/vis, Open source","Basic charts, Maps, Others"
16,Budapest Open Data Atlaza,https://atlo.team/boda/,xx,16.png,monographs,,"Multiple sources, External dataset","Table of content, Vis screenshot",Chart collection,Parallel,,Structural overview,,"Data sourced, Export data/vis, Methodology",Maps
17,Atlante Calvino,https://atlantecalvino.unige.ch/,xx,17.png,monographs,,Internal dataset,Table of content,"Article, Exploratory vis",Hierarchical,"Create focus, Customize data","Search, Visual identity, Structural overview","Video, Textual user guide","Data sourced, Export data/vis, Methodology","Basic charts, Networks, Projection, Glyphs, Others"
18,ACLED Conflict Index,https://acleddata.com/conflict-index/,xx,18.png,exploratoria,,"Updatable, Internal dataset","Featured, Table of content, Lenses, Vis screenshot","Article, Dashboard",No structure,"Create focus, Customize data","Search, Structural overview, Page links","Glossary, Textual user guide","Data sourced, Export data/vis, Methodology","Basic charts, Maps"
