id,title,link,description,image,Genre,Data,Entry page,Content page,Atlas structure,Vis type,Vis interaction,Atlas navigation,Onboarding,Transparency
1,Healthy Communities NC,https://healthycommunitiesnc.org/,xx,1.png,Storybank,"Updatable, Multiple sources, External dataset","Personalisation, Cover vis/teaser",Report,Parallel,,"Create focus, Customize data","Search, Structural overview",,"Data sourced, Export data/vis"
2,State of the Union in Numbers,https://usafacts.org/state-of-the-union/,xx,2.png,Storybank,"Updatable, Multiple sources, External dataset",Table of content,Report,Parallel,,Create focus,"Structural overview, Page links",,"Data sourced, Export data/vis"
3,Our World in Data,https://ourworldindata.org/,xx,3.png,Storybank,"Updatable, Multiple sources, External dataset","Featured, Personalisation, Table of content, Lenses","Report, Article, Exploratory vis, Chart collection, Combination",,,"Create focus, Customize data, Switch views","Search, Structural overview, Page links",,"Data sourced, Export data/vis, Methodology"
4,Data USA,https://datausa.io/,xx,4.png,Storybank,"Updatable, Multiple sources, External dataset","Featured, Random data, Metadata, Table of content, Cover vis/teaser","Report, Dashboard, Exploratory vis",Parallel,,"Create focus, Customize data, Switch views, Coordinated views","Search, Structural overview, Page links","Glossary, Video","Data sourced, Export data/vis, Methodology"
5,World Water Atlas,https://www.worldwateratlas.org/,xx,5.png,Storybank,"Updatable, Multiple sources, External dataset","Featured, Lenses, Interactive vis","Article, Combination",Parallel,,Create focus,Page links,Video,
6,Metroverse: Urban economy navigator,https://metroverse.cid.harvard.edu/,xx,6.png,Observatory,"Updatable, External dataset","Personalisation, Interactive vis","Dashboard, Exploratory vis, Table",Parallel,,"Create focus, Customize data, Switch views","Search, Structural overview","Walkthrough, Glossary","Data sourced, Export data/vis, Quality Evaluation, Methodology"
7,SDG tracker,https://ourworldindata.org/sdgs,xx,7.png,Observatory,"Updatable, Multiple sources, External dataset",Table of content,Report,Parallel,,"Create focus, Customize data, Switch views, Coordinated views",Structural overview,,"Data sourced, Export data/vis"
8,AI Policy Observatory,https://oecd.ai/,xx,8.png,Observatory,"Updatable, Multiple sources, External dataset","Table of content, Lenses","Report, Exploratory vis","Parallel, Multifacets",,"Create focus, Customize data",Structural overview,,"Data sourced, Export data/vis"
9,The Observatory of Economic Complexity,https://games.oec.world/en,xx,9.png,Observatory,"Updatable, Multiple sources, External dataset","Featured, Random data, Metadata, Personalisation, Lenses, Vis screenshot","Report, Exploratory vis","Parallel, Multifacets",,"Create focus, Customize data, Switch views, Coordinated views","Search, Structural overview, Page links",Glossary,"Data sourced, Export data/vis"
10,PAX database,https://www.peaceagreements.org/,xx,10.png,Observatory,"Updatable, Multiple sources, External dataset, Internal dataset","Featured, Lenses, Vis screenshot","Dashboard, Exploratory vis, Table","Parallel, Multifacets",,"Create focus, Customize data","Search, Structural overview",,"Data sourced, Export data/vis"
11,Rare Diseases Observatory,https://rarediseases.ijs.si/,xx,11.png,Observatory,"Updatable, Multiple sources, External dataset","Table of content, Cover vis/teaser",Dashboard,Multifacets,,"Create focus, Customize data","Search, Structural overview",,"Data sourced, Export data/vis, Methodology"
12,Atlas of Sustainable Development Goals 2017,https://datatopics.worldbank.org/sdgatlas/archive/2017/index.html,xx,12.png,Series,Internal dataset,Table of content,Report,Parallel,,,Structural overview,,Data sourced
13,Atlas of Sustainable Development Goals 2018,https://datatopics.worldbank.org/sdgatlas/archive/2018/,xx,13.png,Series,Internal dataset,Table of content,Chart collection,Parallel,,,Structural overview,,"Data sourced, Export data/vis"
14,Atlas of Sustainable Development Goals 2020,https://datatopics.worldbank.org/sdgatlas/archive/2020/,xx,14.png,Series,Internal dataset,Table of content,Article,Parallel,,,,,Data sourced
